name_fi_FI	name_en_US	name_sv_SE	type	mainLanguage	municipality_fi_FI	municipality_en_US	municipality_sv_SE	latitude	longitude
Kouvola	Kouvola	Kouvola	Kaupunki	suomi	Kymenlaakso	Kymenlaakso	Kymmenedalen	60.8678835	26.7041602
Kristiinankaupunki	Kristiinankaupunki	Kristinestad	Kaupunki	suomi	Pohjanmaa	Pohjanmaa	Österbotten	62.2739353	21.3797701
Kruunupyy	Kruunupyy	Kronoby	Kunta	ruotsi	Pohjanmaa	Pohjanmaa	Österbotten	63.7279966	23.0337462
Kuhmo	Kuhmo	Kuhmo	Kaupunki	suomi	Kainuu	Kainuu	Kajanaland	64.12874769999999	29.520283
Kuhmoinen	Kuhmoinen	Kuhmoinen	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	61.5591737	25.1640281
Kumlinge	Kumlinge	Kumlinge	Kunta	suomi	Ahvenanmaa	Ahvenanmaa	Åland	60.20869250000001	20.7761135
Kuopio	Kuopio	Kuopio	Kaupunki	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.89796999999999	27.6781725
Kuortane	Kuortane	Kuortane	Kunta	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.8069725	23.5068836
Kurikka	Kurikka	Kurikka	Kaupunki	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.6171324	22.3987049
Kustavi	Kustavi	Gustavs	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.54499629999999	21.3553431
Kuusamo	Kuusamo	Kuusamo	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	65.9645876	29.1886651
Outokumpu	Outokumpu	Outokumpu	Kaupunki	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.7209494	29.0136145
Kyyjärvi	Kyyjärvi	Kyyjärvi	Kunta	ruotsi	Keski-Suomi	Keski-Suomi	Mellersta Finland	63.04305369999999	24.564922
Kärkölä	Kärkölä	Kärkölä	Kunta	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	60.86887770000001	25.2773703
Kärsämäki	Kärsämäki	Kärsämäki	Kunta	ruotsi - suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	63.9785854	25.758702
Kökar	Kökar	Kökar	Kunta	suomi	Ahvenanmaa	Ahvenanmaa	Åland	59.9207975	20.9091298
Kemijärvi	Kemijärvi	Kemijärvi	Kaupunki	suomi	Lappi	Lappi	Lappland	66.7136282	27.4292063
Kemiönsaari	Kemiönsaari	Kimitoön	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.16487189999999	22.7276643
Lahti	Lahti	Lahtis	Kaupunki	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	60.98267490000001	25.6612096
Laihia	Laihia	Laihela	Kunta	suomi	Pohjanmaa	Pohjanmaa	Österbotten	62.97611519999999	22.0114719
Laitila	Laitila	Laitila	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.8742163	21.6981089
Lapinlahti	Lapinlahti	Lapinlahti	Kunta	suomi - ruotsi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	63.3667365	27.3921568
Lappajärvi	Lappajärvi	Lappajärvi	Kunta	suomi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	63.224819	23.6299085
Lappeenranta	Lappeenranta	Villmanstrand	Kaupunki	suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	61.0549929	28.1896627
Lapinjärvi	Lapinjärvi	Lappträsk	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.6191114	26.1999237
Lapua	Lapua	Lappo	Kaupunki	ruotsi	Etelä-Pohjanmaa	Etelä-Pohjanmaa	Södra Österbotten	62.9719717	23.0023632
Laukaa	Laukaa	Laukaa	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.4126765	25.9498300
Lemi	Lemi	Lemi	Kunta	suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	61.0615215	27.8039704
Lemland	Lemland	Lemland	Kunta	suomi	Ahvenanmaa	Ahvenanmaa	Åland	60.0688511	20.0864136
Lempäälä	Lempäälä	Lempäälä	Kunta	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.3141111	23.7524484
Leppävirta	Leppävirta	Leppävirta	Kunta	suomi	Pohjois-Savo	Pohjois-Savo	Norra Savolax	62.4917052	27.7880216
Lestijärvi	Lestijärvi	Lestijärvi	Kunta	suomi	Keski-Pohjanmaa	Keski-Pohjanmaa	Mellersta Österbotten	63.52723659999999	24.6581193
Lieksa	Lieksa	Lieksa	Kaupunki	suomi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	63.3185051	30.02645279999999
Lieto	Lieto	Lundo	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.50087299999999	22.4612748
Liminka	Liminka	Limingo	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.8098307	25.4153327
Liperi	Liperi	Liperi	Kunta	suomi - ruotsi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	62.52913659999999	29.3853638
Loimaa	Loimaa	Loimaa	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.8535334	23.0429229
Loppi	Loppi	Loppi	Kunta	suomi	Kanta-Häme	Kanta-Häme	Egentliga Tavastland	60.7177934	24.4417325
Loviisa	Loviisa	Lovisa	Kaupunki	ruotsi	Uusimaa	Uusimaa	Nyland	60.45787420000001	26.2278098
Luhanka	Luhanka	Luhanka	Kunta	ruotsi - suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	61.7968844	25.7035513
Lumijoki	Lumijoki	Lumijoki	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.8373411	25.1864597
Lumparland	Lumparland	Lumparland	Kunta	suomi	Ahvenanmaa	Ahvenanmaa	Åland	60.1152164	20.2620276
Luoto	Luoto	Larsmo	Kunta	suomi - ruotsi	Pohjanmaa	Pohjanmaa	Österbotten	63.7525363	22.7461866
Luumäki	Luumäki	Luumäki	Kunta	ruotsi - suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	60.92254490000001	27.5693141
Lohja	Lohja	Lojo	Kaupunki	ruotsi - suomi	Uusimaa	Uusimaa	Nyland	60.251176	24.0674709
Parainen	Parainen	Pargas	Kaupunki	ruotsi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.3010824	22.3022413
Maalahti	Maalahti	Malax	Kunta	suomi	Pohjanmaa	Pohjanmaa	Österbotten	62.9452713	21.547698
Maarianhamina	Maarianhamina	Mariehamn	Kaupunki	suomi	Ahvenanmaa	Ahvenanmaa	Åland	60.0970945	19.9348339
Marttila	Marttila	Marttila	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.5854759	22.897837
Masku	Masku	Masku	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.5708104	22.1014067
Merijärvi	Merijärvi	Merijärvi	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.2972364	24.4465313
Merikarvia	Merikarvia	Sastmola	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.85829870000001	21.5004231
Miehikkälä	Miehikkälä	Miehikkälä	Kunta	suomi	Kymenlaakso	Kymenlaakso	Kymmenedalen	60.6722069	27.7011315
Mikkeli	Mikkeli	S:t Michel	Kaupunki	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	61.68872709999999	27.2721457
Muhos	Muhos	Muhos	Kunta	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.8075384	25.9942516
Multia	Multia	Multia	Kunta	ruotsi - suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.4092558	24.8000172
Muonio	Muonio	Muonio	Kunta	suomi	Lappi	Lappi	Lappland	67.95528729999999	23.6840919
Mustasaari	Mustasaari	Korsholm	Kunta	suomi	Pohjanmaa	Pohjanmaa	Österbotten	63.1140608	21.6820104
Muurame	Muurame	Muurame	Kunta	suomi - ruotsi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.1291562	25.675877
Mynämäki	Mynämäki	Mynämäki	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.67847949999999	21.9887018
Myrskylä	Myrskylä	Mörskom	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.6697224	25.8536784
Mäntsälä	Mäntsälä	Mäntsälä	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.6638584	25.2836053
Mäntyharju	Mäntyharju	Mäntyharju	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	61.41761330000001	26.8805116
Mänttä-Vilppula	Mänttä-Vilppula	Mänttä-Vilppula	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	62.03186019999999	24.6229672
Naantali	Naantali	Nådendal	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.46608759999999	22.0250874
Nakkila	Nakkila	Nakkila	Kunta	suomi	Satakunta	Satakunta	Satakunta	61.3648355	22.0054351
Nivala	Nivala	Nivala	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	63.9284310	24.9642446
Nokia	Nokia	Nokia	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.4803094	23.5012029
Nousiainen	Nousiainen	Nousis	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.59898680000001	22.0824337
Nurmes	Nurmes	Nurmes	Kaupunki	ruotsi	Pohjois-Karjala	Pohjois-Karjala	Norra Karelen	63.54188539999999	29.1395699
Nurmijärvi	Nurmijärvi	Nurmijärvi	Kunta	suomi	Uusimaa	Uusimaa	Nyland	60.4654987	24.8071756
Närpiö	Närpiö	Närpes	Kaupunki	suomi	Pohjanmaa	Pohjanmaa	Österbotten	62.47283869999999	21.3371526
Orimattila	Orimattila	Orimattila	Kaupunki	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	60.8017134	25.7288398
Oripää	Oripää	Oripää	Kunta	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.8560471	22.6973045
Orivesi	Orivesi	Orivesi	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	61.6774395	24.3574084
Oulainen	Oulainen	Oulainen	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	64.2676156	24.8159482
Oulu	Oulu	Uleåborg	Kaupunki	suomi	Pohjois-Pohjanmaa	Pohjois-Pohjanmaa	Norra Österbotten	65.0120888	25.4650772
Padasjoki	Padasjoki	Padasjoki	Kunta	suomi	Päijät-Häme	Päijät-Häme	Päijänne-Tavastland	61.3509378	25.2781249
Paimio	Paimio	Pemar	Kaupunki	suomi	Varsinais-Suomi	Varsinais-Suomi	Egentliga Finland	60.4568764	22.6870261
Paltamo	Paltamo	Paltamo	Kunta	suomi	Kainuu	Kainuu	Kajanaland	64.403043	27.8381469
Parikkala	Parikkala	Parikkala	Kunta	suomi	Etelä-Karjala	Etelä-Karjala	Södra Karelen	61.5501871	29.5024021
Parkano	Parkano	Parkano	Kaupunki	suomi	Pirkanmaa	Pirkanmaa	Birkaland	62.0117883	23.0254988
Pelkosenniemi	Pelkosenniemi	Pelkosennm	Kunta	suomi	Lappi	Lappi	Lappland	67.1083683	27.514578
Perho	Perho	Perho	Kunta	suomi	Keski-Pohjanmaa	Keski-Pohjanmaa	Mellersta Österbotten	63.2440259	24.3710448
Pertunmaa	Pertunmaa	Pertunmaa	Kunta	suomi	Etelä-Savo	Etelä-Savo	Södra Savolax	61.5071877	26.4821156
Petäjävesi	Petäjävesi	Petäjävesi	Kunta	suomi	Keski-Suomi	Keski-Suomi	Mellersta Finland	62.2570942	25.1883527
